country,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Afghanistan,1.316620241411328,-1.350114310251296,0.3423913043478259,0.05534699449380629,-0.9509649840961373,0.3934152627119226,-1.4695652173913036,1.6354916067146283,-0.9043711822865697
Albania,-0.0501392757660167,-0.2803551225329711,0.06249999999999985,0.17879860460386268,-0.0015741685271700933,-0.10585370507871349,0.2782608695652176,-0.3645083932853718,-0.055359405102644185
Algeria,0.14856081708449395,0.12206893476910563,-0.5842391304347825,-0.458249521925834,0.13497312835536493,0.8815445615406604,0.295652173913044,0.23021582733812948,-0.018612895889366498
Angola,1.8514391829155061,0.8159448780748232,-0.9429347826086953,-0.014034738137556957,-0.2732464763905758,1.249896219587918,-1.1304347826086951,1.7985611510791366,-0.11783723096464797
Antigua and Barbuda,-0.1671309192200557,0.35427282602254023,-0.07880434782608693,0.49423235314655883,0.33977360397519296,-0.568297590906727,0.32173913043478286,-0.13429256594724231,0.40836078261432385
Argentina,-0.08913649025069639,-0.7303020042387908,0.4836956521739127,-1.253237548747365,0.32872903359254535,1.1679248036078638,0.23478260869565243,-0.019184652278177474,0.3365291493256587
Armenia,-0.02228412256267408,-0.6256086934974124,-0.5217391304347824,0.06899141743235673,-0.20689226834110236,0.2441764227788536,0.017391304347826333,-0.3453237410071943,-0.1568379571394107
Australia,-0.2692664809656453,-0.6798488456387397,0.6548913043478258,-0.9630910751283527,0.7434624080858568,-0.6249546881966522,0.7739130434782614,-0.2302158273381296,1.0227061408268072
Austria,-0.2785515320334262,0.5255847033904784,1.271739130434782,0.15261584575714907,0.7656715670829117,-0.6875806715039352,0.6434782608695657,-0.46522781774580346,0.9797234712641844
Azerbaijan,0.3695450324976788,0.6088455417213301,-0.11956521739130441,-0.974074803932589,0.24735656700271472,0.7278311246131346,-0.34782608695652173,-0.23501199040767395,0.09577237402913975
Bahamas,-0.1021355617455896,0.0,0.42663043478260837,0.013954382909680645,0.4344600882930058,-1.06372277169505,0.06086956521739155,-0.2637889688249401,0.7608608565681848
Bahrain,-0.19870009285051068,0.986708744845085,-0.36684782608695654,0.2526095406775308,0.739667217022859,0.21280540161390968,0.25217391304347875,-0.11990407673860912,0.6326904031378331
Bangladesh,0.5589600742804085,-0.9050225323264565,-0.760869565217391,-0.9144380202655418,-0.7340042384473748,0.18367138697250815,-0.23478260869565118,-0.03836930455635495,-0.7705767336484339
